runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
3043451.ibar.dinampo,Ibar DINAMPO,,,Philippines,PH,,40-44,H
2056417.guido.pizzorno,Guido PIZZORNO,,,Italy,IT,,65-69,H
3506559.pierre.beaurang,Pierre BEAURANG,,,Belgium,BE,,40-44,H
4878703.cathal.mcparland,Cathal MCPARLAND,,,Ireland,IE,,20-34,H
862847.jim.ryan,Jim RYAN,,,United States of America,US,,60-64,H
4490352.jeanpascal.arnaud,Jean-Pascal ARNAUD,,,France,FR,,35-39,H
4983396.elisee.boudesocque,Elisee BOUDESOCQUE,,,France,FR,,35-39,H
1681215.xevi.fontgali,Xevi FONT GALI,,,Spain,ES,,60-64,H
1100091.fem.zhao,Fem ZHAO,,,China,CN,,60-64,H
5073339.stefhan.regeer,Stefhan REGEER,,,Netherlands,NL,,50-54,H
2108069.robert.desmouiller,Robert DESMOUILLER,,,France,FR,,50-54,H
1573645.laurent.oddoux,Laurent ODDOUX,,,France,FR,,35-39,H
431373.jeanmarc.doublet,Jean-Marc DOUBLET,,,France,FR,,55-59,H
1139777.dafne.antoniz,Dafne ANTONIZ,,,Chile,CL,,35-39,F
10048.francois.saintpierre,Francois SAINT PIERRE,,,France,FR,,50-54,H
3985851.pauline.dussart,Pauline DUSSART,,,France,FR,,20-34,F
2099731.mihai.stoica,Mihai STOICA,,,Romania,RO,,45-49,H
3222773.stephane.wantz,Stephane WANTZ,,,France,FR,,50-54,H
1349417.catia.geremia,Catia GEREMIA,,,Brazil,BR,,45-49,F
556564.cyrille.lefebvre,Cyrille LEFEBVRE,,,France,FR,,45-49,H
653719.nadia.portelli,Nadia PORTELLI,,,Malta,MT,,55-59,F
1607079.jeanmichel.grimaldi,Jean-Michel GRIMALDI,,,France,FR,,55-59,H
1305761.jeanfrancois.feat,Jean-Francois FEAT,,,France,FR,,35-39,H
1208319.yusuke.hayashi,Yusuke HAYASHI,,,Japan,JP,,40-44,H
657378.arnaud.rouse,Arnaud ROUSE,,,France,FR,,45-49,H
827342.tomasz.bobin,Tomasz BOBIN,,,Poland,PL,,45-49,H
678644.peter.vankampen,Peter VAN KAMPEN,,,New Zealand,NZ,,60-64,H
27569.dominique.lostanlen,Dominique LOSTANLEN,,,France,FR,,45-49,H
283746.marco.oltramari,Marco OLTRAMARI,,,Italy,IT,,55-59,H
1321545.alain.mabilon,Alain MABILON,,,France,FR,,55-59,H
290699.marco.buttafava,Marco BUTTAFAVA,,,Italy,IT,,55-59,H
469283.samuel.adedesteller,Samuel ADED-ESTELLER,,,Spain,ES,,45-49,H
305511.yvan.guthleben,Yvan GUTHLEBEN,,,France,FR,,60-64,H
1279855.jacques.bessereau,Jacques BESSEREAU,,,France,FR,,45-49,H
1481095.miloslav.pytlik,Miloslav PYTLÍK,,,Czech Republic,CZ,,50-54,H
1812647.bruno.beulen,Bruno BEULEN,,,Belgium,BE,,45-49,H
4313882.hugo.badinand,Hugo BADINAND,,,France,FR,,20-34,H
3303709.paulo.malta,Paulo MALTA,,,Switzerland,CH,,45-49,H
167553.joel.button,Joel BUTTON,,,United States of America,US,,55-59,H
2266999.stephane.gucker,Stephane GUCKER,,,France,FR,,50-54,H
1089775.jeanpierre.chabane,Jean-Pierre CHABANE,,,France,FR,,60-64,H
771364.beata.zielinska,Beata ZIELINSKA,,,Poland,PL,,45-49,F
305674.christelle.guiberteau,Christelle GUIBERTEAU,,,France,FR,,40-44,F
4392142.lilian.julien,Lilian JULIEN,,,France,FR,,40-44,H
2014939.nina.thauvin,Nina THAUVIN,,,France,FR,,20-34,F
78884.cedric.cossin,Cedric COSSIN,,,France,FR,,45-49,H
866229.antonio.espi,Antonio ESPI,,,Spain,ES,,45-49,H
2346219.mukir.gluhic,Mukir GLUHIC,,,Bosnia and Herzegovina,BA,,55-59,H
2060571.souleymane.gasmi,Souleymane GASMI,,,France,FR,,40-44,H
975823.miguelangel.ubedalopez,Miguel-Ángel ÚBEDA-LÓPEZ (Miguel Angel UBEDA LOPEZ),,,Spain,ES,,50-54,H
612034.robert.naylor,Robert NAYLOR,,,Australia,AU,,45-49,H
1320889.lucianooctavio.ribeiro,Luciano Octavio RIBEIRO,,,Brazil,BR,,40-44,H
1927013.julien.morcet,Julien MORCET,,,France,FR,,40-44,H
4116564.hiroo.takano,Hiroo TAKANO,,,Japan,JP,,60-64,H
448490.stephan.tranchant,Stephan TRANCHANT,,,France,FR,,35-39,H
940857.gregory.baloche,Gregory BALOCHE,,,France,FR,,50-54,H
242902.gilles.fleau,Gilles FLEAU,,,France,FR,,60-64,H
1146067.brijmohan.sharma,Brijmohan SHARMA,,,India,IN,,50-54,H
297322.jeanbaptiste.berne,Jean-Baptiste BERNE,,,France,FR,,35-39,H
4117780.waichun.hui,Wai Chun HUI,,,"Hong Kong, China",HK,,40-44,H
4613283.alex.bulatvandenwildenberg,Alex BULAT VAN DEN WILDENBERG,,,Netherlands,NL,,35-39,H
4231200.benoit.airault,Benoit AIRAULT,,,France,FR,,35-39,H
78754.alain.huart,Alain HUART,,,France,FR,,65-69,H
357059.philippe.bourre,Philippe BOURRE,,,France,FR,,55-59,H
4569572.baptiste.nay,Baptiste NAY,,,France,FR,,40-44,H
519582.thierry.nortier,Thierry NORTIER,,,France,FR,,55-59,H
1285839.hirokazu.akashi,Hirokazu AKASHI,,,Japan,JP,,50-54,H
542499.aurelien.guyard,Aurelien GUYARD,,,France,FR,,35-39,H
5209128.aurelien.mortreux,Aurelien MORTREUX,,,France,FR,,35-39,H
315758.tetsuya.kawai,Tetsuya KAWAI,,,Japan,JP,,55-59,H
24481.jeremy.delrieu,Jeremy DELRIEU,,,France,FR,,40-44,H
25273.ulrich.schmidt,Ulrich SCHMIDT,,,France,FR,,35-39,H
4264659.ritwik.deo,Ritwik DEO,,,United Kingdom,GB,,35-39,H
314103.dominique.bibard,Dominique BIBARD,,,France,FR,,50-54,H
2417633.christophe.derangere,Christophe DERANGERE,,,France,FR,,45-49,H
1458387.alexis.maerten,Alexis MAERTEN,,,France,FR,,35-39,H
115525.eric.charlet,Eric CHARLET,,,Belgium,BE,,50-54,H
2525849.louis.callejamate,Louis CALLEJA MATE,,,France,FR,,55-59,H
1806241.david.gautier,David GAUTIER,,,France,FR,,40-44,H
1710491.taeko.akazawa,Taeko AKAZAWA,,,Japan,JP,,60-64,F
4352496.sebastien.frantz,Sébastien FRANTZ,,,France,FR,,20-34,H
1100511.nicolas.sauvee,Nicolas SAUVEE,,,France,FR,,35-39,H
236941.laurent.rocher,Laurent ROCHER,,,France,FR,,45-49,H
1061867.carmine.lamberti,Carmine LAMBERTI,,,Italy,IT,,35-39,H
1692789.george.hardwick,George HARDWICK,,,United Kingdom,GB,,45-49,H
710226.emilie.billot,Emilie BILLOT,,,France,FR,,50-54,F
641548.yvan.scherer,Yvan SCHERER,,,France,FR,,50-54,H
1312569.damien.donnet,Damien DONNET,,,France,FR,,45-49,H
1175643.marc.dumoulin,Marc DUMOULIN,,,France,FR,,55-59,H
33472.jeanmarc.delorme,Jean-Marc DELORME,,,France,FR,,50-54,H
4389702.roberto.martinez,Roberto MARTINEZ,,,Mexico,MX,,20-34,H
404288.thomas.karle,Thomas KARLE,,,Germany,DE,,60-64,H
904243.kevin.perrissoud,Kevin PERRISSOUD,,,France,FR,,20-34,H
697580.hristo.raynov,Hristo RAYNOV,,,Bulgaria,BG,,55-59,H
387729.daniele.giacalone,Daniele GIACALONE,,,Italy,IT,,55-59,H
835572.stephane.lacuska,Stephane LACUSKA,,,France,FR,,45-49,H
461053.florent.lesueur,Florent LESUEUR,,,France,FR,,35-39,H
3960285.ciprian.strejac,Ciprian STREJAC,,,Romania,RO,,40-44,H
650956.dietmar.posch,Dietmar POSCH,,,Austria,AT,,60-64,H
4490106.alexandre.monjou,Alexandre MONJOU,,,France,FR,,40-44,H
37079.neil.macritchie,Neil MACRITCHIE,,,United Kingdom,GB,,45-49,H
482586.daniel.cepinarodriguez,Daniel CEPINA RODRIGUEZ,,,Spain,ES,,40-44,H
2317683.clement.malfoy,Clement MALFOY,,,France,FR,,20-34,H
42337.david.deparde,David DEPARDE,,,France,FR,,45-49,H
1795195.guillermo.garcesrodriguez,Guillermo GARCES RODRIGUEZ,,,France,FR,,40-44,H
193148.carlos.llanofernandez,Carlos LLANO FERNANDEZ,,,Spain,ES,,40-44,H
384604.stephen.turner,Stephen TURNER,,,United Kingdom,GB,,60-64,H
27269.philippe.herve,Philippe HERVE,,,France,FR,,55-59,H
2974687.kat.barrett,Kat BARRETT,,,United Kingdom,GB,,40-44,F
389200.david.perrais,David PERRAIS,,,France,FR,,45-49,H
4825052.stephane.baziuk,Stephane BAZIUK,,,France,FR,,35-39,H
4502176.kazuhiro.tamaki,Kazuhiro TAMAKI,,,Japan,JP,,50-54,H
84969.guillaume.leroy,Guillaume LEROY,,,France,FR,,40-44,H
674530.margot.fleming,Margot FLEMING,,,United States of America,US,,35-39,F
4352518.johanny.guio,Johanny GUIO,,,France,FR,,45-49,H
503729.filippo.crovetti,Filippo CROVETTI,,,Italy,IT,,45-49,H
1035427.nil.serrapeinado,Nil SERRA-PEINADO,,,Spain,ES,,35-39,H
128072.steve.montigny,Steve MONTIGNY,,,France,FR,,60-64,H
591969.sebastien.champion,Sebastien CHAMPION,,,France,FR,,45-49,H
1602355.alex.sarabialock,Alex SARABIA-LOCK,,,Philippines,PH,,50-54,H
3435955.takeshi.terada,Takeshi TERADA,,,Japan,JP,,55-59,H
1865559.pete.hall,Pete HALL,,,United Kingdom,GB,,40-44,H
10861.fabien.nelin,Fabien NELIN,,,France,FR,,40-44,H
657518.charlotte.darnisgravelle,Charlotte DARNIS-GRAVELLE,,,France,FR,,40-44,F
258308.gregory.jarlaud,Gregory JARLAUD,,,France,FR,,35-39,H
362205.cyrille.blin,Cyrille BLIN,,,France,FR,,45-49,H
3690523.stephane.givre,Stephane GIVRE,,,France,FR,,55-59,H
1182167.guillaume.rousseaux,Guillaume ROUSSEAUX,,,France,FR,,20-34,H
4217968.guy.serrie,Guy SERRIÉ,,,France,FR,,35-39,H
163529.cyril.desanlis,Cyril DESANLIS,,,France,FR,,40-44,H
1071897.alexis.torbaty,Alexis TORBATY,,,France,FR,,35-39,H
8537.ludovic.dupont,Ludovic DUPONT,,,France,FR,,55-59,H
4209747.philippe.morin,Philippe MORIN,,,France,FR,,65-69,H
2961825.inigo.torrehernandez,Iñigo TORRE HERNÁNDEZ,,,Spain,ES,,35-39,H
,Anonymous,,,France,FR,,40-44,H
1724277.adrien.dubois,Adrien DUBOIS,,,France,FR,,35-39,H
337927.frederic.berbin,Frederic BERBIN,,,France,FR,,50-54,H
388700.frederic.pitot,Frederic PITOT,,,France,FR,,45-49,H
3985937.hugo.exposito,Hugo EXPOSITO,,,France,FR,,20-34,H
1668215.emmanuel.moreau,Emmanuel MOREAU,,,France,FR,,50-54,H
4292611.keiji.yanai,Keiji YANAI,,,Japan,JP,,50-54,H
1626239.samuel.martinez,Samuel MARTINEZ,,,France,FR,,35-39,H
3787989.javier.canadillas,Javier CAÑADILLAS,,,Spain,ES,,40-44,H
1618831.olivier.trousse,Olivier TROUSSE,,,France,FR,,45-49,H
1309455.rodrigo.lopezdavalos,Rodrigo LOPEZ DAVALOS,,,Argentina,AR,,55-59,H
592059.thibault.gradt,Thibault GRADT,,,France,FR,,40-44,H
1239571.constantineduard.stransky,Constantin Eduard STRANSKY,,,Romania,RO,,35-39,H
1997683.denis.jiquelle,Denis JIQUELLE,,,France,FR,,55-59,H
