runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
1610627.antoine.charvolin,Antoine CHARVOLIN,18:22:17,1.0,France,FR,,20-34,H
448706.gautier.airiau,Gautier AIRIAU,18:28:04,2.0,France,FR,,20-34,H
338480.leo.rogaume,Leo ROGAUME,18:39:21,3.0,France,FR,,20-34,H
3096053.matis.leray,Matis LERAY,19:41:58,4.0,France,FR,,20-34,H
2514861.daniel.claassen,Daniël CLAASSEN,19:51:19,5.0,South Africa,ZA,,20-34,H
381419.pau.capell,Pau CAPELL,20:02:15,6.0,Spain,ES,,20-34,H
1962831.thibault.athane,Thibault ATHANÉ,20:13:47,7.0,France,FR,,20-34,H
5961.patrick.bringer,Patrick BRINGER,20:13:47,7.0,France,FR,,50-54,H
435651.pierreadrien.hivert,Pierre-Adrien HIVERT,20:40:28,9.0,France,FR,,20-34,H
84725.martin.francou,Martin FRANCOU,21:02:31,10.0,France,FR,,40-44,H
742718.martin.kern,Martin KERN,21:06:23,11.0,France,FR,,35-39,H
42923.diego.pazos,Diego PAZOS,21:10:02,12.0,Switzerland,CH,,40-44,H
3472423.mael.bures,Mael BURES,21:10:03,13.0,France,FR,,20-34,H
419942.luis.fernandes,Luis FERNANDES,21:12:23,14.0,Portugal,PT,,35-39,H
764508.mathieu.clement,Mathieu CLEMENT,21:18:30,15.0,Switzerland,CH,,20-34,H
2662347.sebastien.leday,Sebastien LEDAY,21:18:34,16.0,France,FR,,35-39,H
1929925.pablo.nadalez,Pablo NADALEZ,21:22:59,17.0,Argentina,AR,,35-39,H
685075.vincent.chessex,Vincent CHESSEX,21:32:48,18.0,Switzerland,CH,,20-34,H
7.arnaud.lejeune,Arnaud LEJEUNE,21:56:33,19.0,France,FR,,45-49,H
2187535.antoine.thiriat,Antoine THIRIAT,22:01:36,20.0,France,FR,,20-34,H
1190095.jhon.barrera,Jhon BARRERA,22:05:08,21.0,Colombia,CO,,40-44,H
4220636.baptiste.carimentrand,Baptiste CARIMENTRAND,22:07:25,22.0,France,FR,,45-49,H
3453763.ethan.peters,Ethan PETERS,22:11:14,23.0,Canada,CA,,20-34,H
194949.nicolas.mordelet,Nicolas MORDELET,22:22:05,24.0,France,FR,,20-34,H
948531.matthieu.melon,Matthieu MELON,22:36:04,25.0,France,FR,,20-34,H
1486113.matthieu.devillecavellin,Matthieu DEVILLE CAVELLIN,22:42:47,26.0,France,FR,,35-39,H
5320324.louis.despres,Louis DESPRES,22:43:44,27.0,France,FR,,20-34,H
644872.florent.vantard,Florent VANTARD,22:51:43,28.0,France,FR,,40-44,H
524867.majell.backhausen,Majell BACKHAUSEN,22:53:38,29.0,Australia,AU,,35-39,H
3607695.florent.neyron,Florent NEYRON,22:55:46,30.0,France,FR,,35-39,H
4571846.careth.arnold,Careth ARNOLD,22:58:52,31.0,United States of America,US,,35-39,F
4351632.come.delongvilliers,Côme DE LONGVILLIERS,23:09:10,32.0,France,FR,,20-34,H
5318818.adrien.jacques,Adrien JACQUES,23:09:33,33.0,France,FR,,20-34,H
4375696.florian.verissimo,Florian VERISSIMO,23:10:45,34.0,France,FR,,20-34,H
717110.benoit.douls,Benoit DOULS,23:11:16,35.0,France,FR,,35-39,H
642432.clement.jambou,Clement JAMBOU,23:12:05,36.0,France,FR,,20-34,H
2229115.erik.sollien,Erik SOLLIEN,23:14:38,37.0,Norway,NO,,20-34,H
4195017.patrice.frisonroche,Patrice FRISON-ROCHE,23:16:48,38.0,France,FR,,40-44,H
757723.guillaume.perrot,Guillaume PERROT,23:23:27,39.0,France,FR,,20-34,H
2474255.jeremie.roussinet,Jérémie ROUSSINET,23:29:09,40.0,France,FR,,40-44,H
4241927.ronan.callet,Ronan CALLET,23:41:12,41.0,France,FR,,20-34,H
5440742.quentin.auvinet,Quentin AUVINET,23:41:58,42.0,France,FR,,20-34,H
341745.pierre.reygade,Pierre REYGADE,23:46:35,43.0,France,FR,,20-34,H
1309879.geoffrey.rocha,Geoffrey ROCHA,23:48:05,44.0,France,FR,,35-39,H
1458719.camille.dubois,Camille DUBOIS,23:48:43,45.0,France,FR,,20-34,H
4490016.justin.jouade,Justin JOUADÉ,23:48:50,46.0,France,FR,,20-34,H
725954.axel.arnaud,Axel ARNAUD,23:52:15,47.0,France,FR,,20-34,H
4107925.blake.slattengren,Blake SLATTENGREN,23:54:56,48.0,United States of America,US,,20-34,H
332370.leo.roblin,Leo ROBLIN,24:06:49,49.0,France,FR,,20-34,H
4584412.gonzalo.inzaurralde,Gonzalo INZAURRALDE,24:10:14,50.0,Uruguay,UY,,20-34,H
4232961.guillaume.salmon,Guillaume SALMON,24:13:21,51.0,France,FR,,20-34,H
4266842.remy.gineste,Rémy GINESTE,24:18:50,52.0,France,FR,,20-34,H
267849.jerome.evequemourroux,Jérome EVEQUE-MOURROUX,24:22:32,53.0,France,FR,,45-49,H
4591810.helene.dassy,Hélène DASSY,24:23:23,54.0,Belgium,BE,,20-34,F
3712707.emmanuel.gaigier,Emmanuel GAIGIER,24:23:47,55.0,France,FR,,20-34,H
991975.damien.loitron,Damien LOITRON,24:27:57,56.0,France,FR,,35-39,H
5052980.florent.walbrecq,Florent WALBRECQ,24:44:08,57.0,Belgium,BE,,35-39,H
4283358.yaneck.agier,Yaneck AGIER,24:45:30,58.0,France,FR,,20-34,H
922041.lois.dacol,Loïs DA-COL,24:51:48,59.0,France,FR,,20-34,H
